Destination_Region;Country_Name;indicatorId;geoUnit;Year; Students_Outbound
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2008;7180
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2009;7978
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2010;8221
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2011;8420
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2012;7879
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2013;6936
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2014;6422
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2015;5805
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2016;5738
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2017;5706
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2018;5805
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2019;5748
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2020;6298
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2021;6858
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2022;9855
North America & Western Europe;Sri Lanka;OE.5T8.40500;LKA;2023;14944
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2000;3173
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2001;3610
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2002;4092
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2003;4987
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2004;5776
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2005;6785
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2006;8106
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2007;9668
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2008;11347
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2009;14989
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2010;15132
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2011;14862
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2012;13894
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2013;13716
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2014;13028
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2015;12664
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2016;14500
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2017;16810
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2018;19416
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2019;19746
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2020;20906
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2021;19159
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2022;22622
North America & Western Europe;Nepal;OE.5T8.40500;NPL;2023;30376
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2000;10836
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2001;12382
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2002;14364
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2003;15019
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2004;16769
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2005;17599
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2006;18202
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2007;19898
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2008;21561
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2009;23924
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2010;25192
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2011;25710
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2012;21815
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2013;20508
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2014;20418
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2015;20864
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2016;22237
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2017;23681
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2018;25289
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2019;26335
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2020;29003
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2021;35411
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2022;49542
North America & Western Europe;Pakistan;OE.5T8.40500;PAK;2023;64892
;Afghanistan;OE.5T8.40505;AFG;2000;61
;Afghanistan;OE.5T8.40505;AFG;2001;116
;Afghanistan;OE.5T8.40505;AFG;2002;149
;Afghanistan;OE.5T8.40505;AFG;2003;114
;Afghanistan;OE.5T8.40505;AFG;2004;131
;Afghanistan;OE.5T8.40505;AFG;2005;159
;Afghanistan;OE.5T8.40505;AFG;2006;207
;Afghanistan;OE.5T8.40505;AFG;2007;293
;Afghanistan;OE.5T8.40505;AFG;2008;253
;Afghanistan;OE.5T8.40505;AFG;2009;248
;Afghanistan;OE.5T8.40505;AFG;2010;299
;Afghanistan;OE.5T8.40505;AFG;2011;329
;Afghanistan;OE.5T8.40505;AFG;2012;423
;Afghanistan;OE.5T8.40505;AFG;2013;534
;Afghanistan;OE.5T8.40505;AFG;2014;623
;Afghanistan;OE.5T8.40505;AFG;2015;842
;Afghanistan;OE.5T8.40505;AFG;2016;1007
;Afghanistan;OE.5T8.40505;AFG;2017;1045
;Afghanistan;OE.5T8.40505;AFG;2018;1188
;Afghanistan;OE.5T8.40505;AFG;2019;1179
;Afghanistan;OE.5T8.40505;AFG;2020;1279
;Afghanistan;OE.5T8.40505;AFG;2021;1345
;Afghanistan;OE.5T8.40505;AFG;2022;1403
;Afghanistan;OE.5T8.40505;AFG;2023;1384
;Bangladesh;OE.5T8.40505;BGD;2000;0
;Bangladesh;OE.5T8.40505;BGD;2001;1
;Bangladesh;OE.5T8.40505;BGD;2002;0
;Bangladesh;OE.5T8.40505;BGD;2003;0
;Bangladesh;OE.5T8.40505;BGD;2004;0
;Bangladesh;OE.5T8.40505;BGD;2005;2
;Bangladesh;OE.5T8.40505;BGD;2006;1
;Bangladesh;OE.5T8.40505;BGD;2007;1
;Bangladesh;OE.5T8.40505;BGD;2008;4
;Bangladesh;OE.5T8.40505;BGD;2009;2
;Bangladesh;OE.5T8.40505;BGD;2010;4
;Bangladesh;OE.5T8.40505;BGD;2011;2
;Bangladesh;OE.5T8.40505;BGD;2012;6
;Bangladesh;OE.5T8.40505;BGD;2013;10
;Bangladesh;OE.5T8.40505;BGD;2014;12
;Bangladesh;OE.5T8.40505;BGD;2015;15
;Bangladesh;OE.5T8.40505;BGD;2016;6
;Bangladesh;OE.5T8.40505;BGD;2017;17
;Bangladesh;OE.5T8.40505;BGD;2018;146
;Bangladesh;OE.5T8.40505;BGD;2019;94
